track,artist,lyrics
the angel,bruce springsteen,"The angel rides with hunchback children
Poison oozing from his engine
Wieldin' love as a lethal weapon
On his way to hubcap heaven

Baseball cards poked in his spokes
His boots in oil, he's patiently soaked
The roadside attendant nervously jokes
As the angel's tires strokes his precious pavement

Well, the interstate's choked with nomadic hordes
In Volkswagen vans with full running boards dragging great anchors
Followin' dead end signs into the sores
The angel rides by humpin' his hunk metal whore

Madison Avenue's claim to fame
In a trainer bra with eyes like rain
She rubs against the weather-beaten frame
And asks the angel for his name

Off in the distance the marble dome
Reflects across the flatlands
With a naked feel off into parts unknown
The woman strokes his polished chrome
And lies beside the angel's bones"
the antidote,st. vincent,"I am the antidote
I’ll suck your venom out
Show me where it really hurts
I’ll show you where it really hurts
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Honey, your clothes are soaked
Mom leaves my daddy’s trapes
Show me where it really hurts
I’ll show you where it really hurts
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love
Should’ve stopped for the wind
Should’ve stopped for love"
the beach,dr. dog,"There's a hole in the roof, and the rain's comin' down
The roads are all flooded, there's no way back to town
And this ship we came in on, has just run aground
You know fate has a funny way of comin' around

The memories we've buried, have now taken seed
When spring time comes they'll turn into weeds
And they'll creep through your window to smother your dreams
You know fate has a funny way of comin' around

Oh they'll carve our names like scripture
To the souls of their feet
Every footprint that they take
It will tell of our deed

Drowning lies, oh they're following me
Till the flow tide comes, to swallow
The beach

This bottle of bourbon's now dry as a bone
It drank us all up and then it left us alone
Well we sense whats to come, but we can't choke it down
You know fate has a funny way of coming around"
the beast,austra,"The morning that I was born again
I was made into a beast
Am I free now, am I at peace?
Is that the ground below me or your feet?

The morning I saw your face again
I was made into a beast
Am I free now, am I at peace?
Is that the ground below me or your feet?

And I'll break my head over you this way"
the beautiful ones,poets of the fall,"Flies with a broken wing, she's ever so graceful, so like an angel
But I see, tears flow quietly.

The struggle she's seen this spring, when nothing comes dancing
Paying a handsome fee, and still she smiles at me.

And I can't take it, no I can't help but wonder...

Why do we sacrifice the beautiful ones?
How do you break a heart of gold?
Why do we sacrifice our beautiful souls?
Heroes of tales unsung, untold.

Sweet as an angel sings, she gives though she has none left but the
Last one, free, unhesitatingly.

And I am humbled, I am a broken mirror, and I can't help but wonder...

Why do we sacrifice the beautiful ones?
How do you break a heart of gold?
Why do we sacrifice our beautiful souls?
Heroes of tales unsung, untold.

Why do we sacrifice the beautiful ones?
Why when they walk with love alone?
Why do we sacrifice our beautiful souls?
Just trying to find their way home.

Why do we sacrifice the beautiful ones?
How do you break a heart of gold?
Why do we sacrifice our beautiful souls?
Heroes of tales unsung, untold.
Why do we sacrifice the beautiful ones?
Why when they walk with love alone?
Why do we sacrifice our beautiful souls?
Just trying to find their way home."
the bed,lou reed,"This is the place where she lay her head
When she went to bed at night
And this is the place our children were conceived
Candles lit the room brightly at night
And this is the place where she cut her wrists
That odd and fateful night
And I said, oh, oh, oh, oh, oh, oh, what a feeling
And I said, oh, oh, oh, oh, oh, oh, what a feeling
This is the place where we used to live
I paid for it with love and blood
And these are the boxes that she kept on the shelf
Filled with her poetry and stuff
And this is the room where she took the razor
And cut her wrists that strange and fateful night
And I said, oh, oh, oh, oh, oh, oh, what a feeling
And I said, oh, oh, oh, oh, oh, oh, what a feeling
I never would have started if I'd known
That it's end this way
But funny thing, I'm not at all sad
That it stopped this way
Stopped this way"
the best thing,electric youth,"I mean usher is this what it come to man
This is how we gon' do it
I mean I making grass grow baby, ya know
Seeds become plants
Boys become men
Want we gon' do
Wrapped around our girls like pashminas
Whats my demeanor
The grass is always greener on the other side
To think of I cant give her a ring up
I couldn't give a fuck
I could I give a finger
Let alone half baths and closets
So claustrophobic if there were close objects
Now its sort of like two door garages
Its like two broads minagin'
Your the best mama!
Is there any chance
That you remember me being any more than just a horrible man
And would you consider
Pullin' this trigger
And taking a second shot at romance
Oh Babe
I want the days when you were my girl
And I was your man
Know I took you for granted
But it wasn't until now I see how much I miss you
Girl I'm sorry that I ran the streets acting like a damn fool, yeah
But for once, here goes the truth
I can't be fake I can't be phonie
Acting all hard thats the niggas thats lonely
I tried to flex but I confess that when you left you took the very best thing
The best things that ever happened to me
You took my best thing
The best thing that I ever seen
You took the best thing that I ever seen
You took the, the best thing that I ever had
And now all I feel is stress cause when you left you took the very best
Remember Mimi or Vita, remember Isha or Eva
I ain't got em no more, hey yes
Niomi or Jenny, the same outcome is chillin'
Girl, I let em all go
No more trickin' and kissin' miscellaneous chicks
Acting like a jerk, woman I been to church
And I talked to the bishop and he wanted me to share this with ya
How much I miss you
I'm so sorry that I ran the streets acting like a damn fool
But for once here goes the truth
I can't be fake I can't be phonie
Acting all hard thats the niggas thats lonely
I tried to flex but I confess that when you left you took the very best thing
The best things that ever happened to me
You took my best thing
The best thing that I ever seen
You took the best thing that I ever seen
You took the, the best thing that I ever had
And now all I feel is stress cause when you left you took the very best
Mama tried to told me
Hovie Hov better slow it down
You gon' lose your best thing
If you keep gettin' round
Like PAC needed pot
When you old to hold you down
Ma forever young was forever numb
Sorry states are sorry done
Your million and all of them
All of em was funny time
It wasn't you it was him
School me once school me twice
Three times and I was dumb
Now its so plant the seed in me
I got the one
Your the best mama!
I can't be fake I can't be phonie
Acting all hard thats the niggas thats lonely
I tried to flex but I confess that when you left you took the very best thing
The best things that ever happened to me
You took my best thing
The best thing that I ever seen
You took the best thing that I ever seen
You took the, the best thing that I ever had
And now all I feel is stress cause when you left you took the very best"
the big sleep,murder by death,"At the end of the road he calls everyone home
And the fire will consume us striking through to the bone
At the end of the road you will soon hear him call
As the congregations crumble and the chapels will fall
And the taste on your tongue well it comes yeah it comes
With the bittersweet pang of remorse and pain
Till the judgement is made the prosecutions won

The gavel has fall and justice is done
The courtroom clears, I'm left alone on the bench
My wife and children gone, along with the defense
The bailiff leads me back to my cell
Like the riverman ferrying my to hell

I can't blame them, no, to hate me for what I've done
I hear them whisperin' in the hall
You'll live and die by the gun
All I can do is sit here and pray
I'll be forgiven on judgement day

Tell my wife in our yard burried underneath the pine
There's a shoebox full of money
Of which I've never earned a dime
Use it to start over the way things should have been
Live honest and love again

Tell my wife tell my kids I never meant for this to happen
When they flip the switch please do not stay
I couldn't bear for you to remember me this way"
the biggest lie,elliott smith,"I'm waiting for the train
Subway that only goes one way
The stupid thing that'll come to pull us apart
And make everybody late
You spent everything you had
Wanted everything to stop that bad
Now I'm a crashed credit card registered to Smith -
Not the name that you called me with
You turned white like a saint
I'm tired of dancing on a pot of gold-flaked paint
Oh we're so very precious, you and I
And everything that you do makes me want to die
Oh I just told the biggest lie
I just told the biggest lie
The biggest lie"
the birds,elbow,"The birds, are the keepers of our secret
As they saw us where we lay
In the deepest grass of springtime
In a reckless guilty haze

And they wove a sweet indifference
And it settled on our skin
Till the eyes that I remember
For the last time drew me in

The birds, though I wore your glacial patience
To a smudge of bitter dust
On the last day you embraced me
With a glistening sapling trust

Did they sing a million blessings
As they watched us slowly part?
Do they keep those final kisses
In their tiny racing hearts

What are we gonna do with you?
Same tale every time
What are we gonna do with you?
Come on inside
Looking back is for the birds

What are we gonna do with you?
Same tale every time
What are we gonna do with you?
Come on inside
Looking back is for the birds

What are we gonna do with you?
Same tale every time
What are we gonna do with you?
Come on inside
Looking back is for the birds

What are we gonna do with you?
Same tale every time
What are we gonna do with you?
Come on inside
Looking back is for the birds"
the body,the pains of being pure at heart,"Come on now stop staring at the ceiling
Your last daydream is slowly unreeling
Won't you come out tonight, like I know you want to
Cuz the city's alive and even though it haunts you, I want you

To tell me again what the body's for
Cuz I can't feel it anymore
I want to hurt like it did before
We shouldn't sin

Tell me again what the body's for
Cuz I can't feel it anymore
I lost mine and I need yours,
It's only skin, we could swim

You try so hard to keep it together,
And you look so hard in fishnets and leather
But I know who you are, you are just a lost saint
And if we go too far, there'll be heaven to pay
And what a price...

I can't feel it anymore, tell me again what the body's for
I can't feel it anymore, tell me again it's only skin, we should swim"
the boogie monster,armand van helden,"We are... watching you

Are you afraid of the boogie monster? (11x)
Get down! (8x)

Are you afraid of the boogie monster? (4x)
Get down! (4x)

Are you afraid of the boogie monster? (8x)
Get down! (28x)

Are you afraid of the boogie monster? (4x)
Get down! (9x)"
the boxer,simon & garfunkel,"I am just a poor boy
Though my story's seldom told
I have squandered my resistance
For a pocketful of mumbles
Such are promises
All lies and jest
Still a man hears what he wants to hear
And disregards the rest

When I left my home and my family
I was no more than a boy
In the company of strangers
In the quiet of the railway station
Running scared
Laying low, seeking out the poorer quarters
Where the ragged people go
Looking for the places only they would know

Lie-la-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie

Asking only workman's wages, I come looking for a job
But I get no offers
Just a come-on from the whores on 7th Avenue
I do declare, there were times when I was so lonesome
I took some comfort there, la-la-la-la-la-la-la

Lie-la-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie

Then I'm laying out my winter clothes
And wishing I was gone, going home
Where the New York City winters aren't bleeding me
Leading me, going home

In the clearing stands a boxer
And a fighter by his trade
And he carries the reminders
Of every glove that laid him down
Or cut him till he cried out
In his anger and his shame
""I am leaving, I am leaving""
But the fighter still remains

Lie-la-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie

Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie

Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie
Lie-la-lie-lie-lie-lie-lie
Lie-la-lie
Lie-la-lie-lie-lie-lie-lie, lie-lie-lie-lie-lie

I love you"
the boy next door,lisa ekdahl,"(H.Martin-R.Blane)

How can I ignore
The boy next door?
I love him more than I can say.
Doesn't try to please me, doesn't even tease me,
And he never sees me glance his way.

And though I'm heart-sore
The boy next door affection for me won't display,
I just adore him, so I can't ignore him,
The boy next door.

I just adore him, so I can't ignore him,
The boy next door."
the breakup song,greg kihn band,"And we had broken up for good just an hour before
(Uh-uh-uh, uh-uh-uh-uh-uh)
Now I'm staring at the bodies as they're dancin' 'cross the floor
(Uh-uh-uh, uh-uh-uh-uh-uh)
And then the band slowed the tempo and the music gets you down
(Uh-uh-uh, uh-uh-uh-uh-uh)
It was the same old song with a melancholy sound
(Uh-uh-uh, uh-uh-uh-uh-uh)

They don't write 'em like that anymore

They just don't write 'em like that anymore

We'd been living together for a million years
(Uh-uh-uh, uh-uh-uh-uh-uh)
But now it feels so strange out in the atmospheres
(Uh-uh-uh, uh-uh-uh-uh-uh)
And then the jukebox plays a song I used to know
(Uh-uh-uh, uh-uh-uh-uh-uh)
And now I'm staring at the bodies as they're dancin' so slow
(Uh-uh-uh, uh-uh-uh-uh-uh)

They don't write 'em like that anymore
They don't write 'em like that anymore

Now I wind up staring at an empty glass
(Uh-uh-uh, uh-uh-uh-uh-uh)
'Cause it's so easy to say that you'll forget your past
(Uh-uh-uh, uh-uh-uh-uh-uh)

They don't write 'em like that anymore
No
They just don't write 'em like that anymore
They don't write 'em like that anymore
They just don't write 'em like that anymore

They just don't, no, they don't
No, no, uh-uh
They just don't write 'em like that anymore
They just don't"
the build up,kimbra,"Went from cities to touch the suburbs
On the highway, but I'm barefoot
I need a map but not the destination
Need a compass but not a conversation

I want to run far from this grey town
You're on every street, marked on the ground
Not the meant and not the paint
Want the price but not the raise

I want the jump but not the height
Let me fall but catch me mid flight
I swam with sharks and beasts of the sea
Only went down for the company
Went down for the company

I forgot to mention:
That you would come back home when I call
Left no sign, nothing at all
Sorry you won't fit inside my heart
I wanted love without the build up

I need the rules but not the regulations
Want the wisdom but not the information
Need the light but not the heat of the day
Need your hands to show me how to pray

I lost the plot underneath the fire
Of all the dots and lines that took me higher
Away from traffic and smiles of tire
I like the nights but not the tangled wires

Need the pulse to feel alive
All the world's just made it seem all quiet
This has all become far too loud
I like you more when you don't make a sound

You will come back home when I call
Left no sign, nothing at all
Sorry you won't fit inside my heart
Won't you come light the way and wash this away

I wanted love without the build up"
the cage,him,"For years I've seen you fighting
Against your heart
Living like you're dying
So far from the sun

Waiting for a guardian angel
To lead you through the dangers
That lie ahead on your way
Towards tomorrows arms

Tears have turned from sweet to sour and hours to days
You're hiding yourself away
From our cruel world's embrace
And as your days turn to weeks
You will cry yourself to sleep
In the cage...

We all have our fears but yours are the scariest of them all
Lift your head and let us taste
The horror you adore

And it all starts to make sense
All the blood wisely shed
Just wait until the cure comes knocking on your door

Tears have turned from sweet to sour and hours to days
You're hiding yourself away
From our cruel world's embrace
And as your days turn to weeks
You will cry yourself to sleep
In the cage you're locked in

Tears have turned from sweet to sour and hours to days
You're hiding yourself away
From our cruel world's embrace
And as your days turn to weeks
You will cry yourself to sleep
In the cage...

And as your days turn to weeks
You will cry yourself to sleep
In the cage you've locked yourself in"
the candy man,cibo matto,"Who can take the sunlight, sprinkle it with dew
Cover it with chocolate and a miracle or two
The candy man, the candy man can
The candy man, the candy man can
He mixes it with love, makes the world taste good

Who can take the rainbow, wrap it in a sigh
Soak it in the sun and make a groovy lemon pie
The candy man, the candy man can
The candy man, the candy man can
He mixes it with love, makes the world taste good

The candy man makes everything he makes
Satisfying and delicious
Talking about your childhood for the wishes
You can even eat the dishes
But delicious.

Who can take tomorrow, dip it in a dream
Separate the sorrow and collect up all the cream
The candy man, the candy man can
The candy man, the candy man can
He mixes it with love, makes the world taste good

The candy man, the candy man can
The candy man, the candy man can
He mixes it with love, makes the world taste good"
the change,evanescence,"Thought that I was strong
I know the words I need to say
Frozen in my place
I let the moment slip away

I've been screaming on the inside
And I know you feel the pain
Can you hear me?
Can you hear me?

Say it's over
Yes it's over
But I need you anyway
Say you love me but it's not enough

Never meant to lie
But I'm not the girl you think you know
The more that I am with you
The more that I am all alone

I've been screaming on the inside
And I know you feel the pain
Can you hear me?
Can you hear me?

Say it's over
Yes it's over
But I need you anyway
Say you love me but it's not enough

Not that I'm so different
Not that I don't see
The dying light of what we used to be
But how could I forgive you?
You've changed!
And I'm a liar by your side
I'm about to lose my mind

'Cause I've been screaming on the inside
And I know you feel the pain
Can you hear me?
Can you hear me?

You've been dreaming
If you're thinking
That I still belong to you
And I've been dying
'Cause I'm lying to myself!

Say it's over
Yes it's over
But I need you anyway
Say you love me but it's not enough"
the childcatcher,lush,"""Baby,"" he says, ""You are like the clean white page and I the pen.
The innocence I find between your girlish thighs is like the fountain of youth to my old bones.""

And she replies, ""Daddy's little girl's a precocious child
I love to please, I'll do anything that you ask of me
Eager to fulfill all of Daddy's needs.""

""Baby,"" he says, ""I can never love older girls like I love you.
You're easier to please and you never give me grief
'Cause you accept everything I say and do.""

And she replies, ""I'm in no position to make demands.
I have no past, no one else has done to me what you do.
I've got no one else to compare you to.""

""And as you grow older, try to stay sixteen all your life,
Old women grow bitter, don't let that happen to you.""

""And why is it charming pretending I'm younger than my years?
Why can't I grow up with dignity? Set me free""

""Baby,"" he says, ""Now that you're older I feel our love has died.
Once upon a time you never criticised me.
Oh, I much preferred you as a child.""

And I reply, ""Everything you said to me was a lie.
I know your kind, you just want a daughter without a wife.
You don't need a girlfriend you need a life."""
the choice is yours,paula abdul,"Lately, I've had my doubts
About the way you feel, yeah
Tell me there is no other love
You see but me

I've been a good woman to you
Give you sweet love every night
Break up, make up, that's all that we do
So if you better want my love
You've got to go down

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

Don't be a fool and take too long
To make your move, yeah
A woman like me deserves a knight
In armor too

I've been a good woman to you
Give you sweet love every night
Break up, make up, that's all that we do
So if you better want my love
You've got to go down

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

I never give in to friends
That don't give in to me
Treat me with love
Desire to be with only me

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

The choice is yours
The choice is yours

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
The choice is yours
Just like it seems you know it really don't matter

The choice is yours
The choice is yours
The choice is yours if you can find something better

The choice is yours
Just like it seems you know it really don't matter
The choice is yours
The choice is yours if you can find something better"
the christmas song,catherine feeny,"Chestnuts roasting on an open fire,
Jack Frost nipping on your nose,
Yuletide carols being sung by a choir,
And folks dressed up like Eskimos.
Everybody knows a turkey and some mistletoe,
Help to make the season bright.
Tiny tots with their eyes all aglow,
Will find it hard to sleep tonight.
They know that Santa's on his way;
He's loaded lots of toys and goodies on his sleigh.
And every mother's child is gone spy,
To see if reindeer really know how to fly.
And so I'm offering this simple phrase,
For kids from one to ninety-two,
Although its been said many times, many ways,
Merry Christmas to you.
They know that Santa's on his way;
He's loaded lots of toys and goodies on his sleigh.
And every mother's child is gone spy,
To see if reindeer really know how to fly.
And so I'm offering this simple phrase,
For kids from one to ninety-two,
Although its been said many times, many ways,
Merry Christmas to you."
the city,patrick wolf,"Won't let the city destroy our love
Won't let the city destroy our love
You know I
I hate to see you cry
But when you open up to me
I take you in my arms
Wish you the top, top, top, top of the morning

No, I don't care about cash or careers
Your losses or your arrears
I take you in my arms

Wish you the top, top, top, top of the morning

I won't let the city destroy our love
Won't let the city destroy my love
Won't let no mistake take the roof from off our heads

No I won't let this city destroy us
Won't let the city destroy our love
(Come on) Talk to me
Let me shed some light on your dark
Help you see
How darling you've left your mark

On my life
And the beautiful all around
When I see you, top, top, top, top of the morning

I was lost
Until that night we kissed
Give it up

A life, oh darling, not this
You want more
Than the hell this city lets you down
When I see you, top, top, top, top of the morning

I won't let the city destroy our love
Won't let the city destroy my love
Won't let no mistake take the roof from off our heads
No I won't let this city destroy us
Won't let the city destroy our love

Won't let the city destroy our love
Won't let the city destroy my love
Won't let no mistake take the roof from off our heads
No I won't let this city destroy us
Won't let the city destroy our love
No, no, no, no

Not about the debts you made
The car we never had
The house we never owned
Darling don't look so sad
It's about that day we kissed
Down by Niagara Falls

It's about the keys, the keys, the keys to my heart you hold
Top, top, top, top of the morning now
Won't let the city destroy our love
Won't let the city destroy my love
Won't let no mistake take the roof from off our heads
No I won't let this city destroy us
Won't let the city destroy our love

Won't let the city destroy our love
Won't let the city destroy my love
Won't let no mistake take the roof from off our heads
No I won't let this city destroy us
Won't let the city destroy our love
Won't let no mistake take the roof from off our heads
No I won't let this city destroy us
Won't let the city destroy our love"
the clearing,arab strap,"Oh, she always used to be the same
She'd be loose with a straight dark facial frame
And now the things that used to turn me off
I find endearing
And they laugh behind the trees
As she lies naked in the clearing

I adore her, but I ignore her
See, I know it won't last
As I reflect upon my past
But on severance she made no difference

There's things I won't let her know
As we're perfecting our show
I want to own her, I think I'll phone her
I can't explore her if I ignore her

And now the things that used to turn me off
I find endearing
And they laugh behind the trees
As she lies naked in the clearing

But she won't beckon is what I reckon
She may adore me but she'll ignore me
Put them on a show there, we're getting nowhere
She helps my snoring, so it never get's boring

And she always used to be the same
She'd be loose with with a straight dark facial frame
And now the things that used to turn me off
I find endearing
And they laugh behind the trees
As she lies naked in the clearing

I was awake, I overheard your speech
My ego dried and sank
Talked with your ex and we agreed
Thoughts of your sister helped us wank

I'm sure you know that I have fancied her
Since she began high school
But park here now and I will promise
I will let your engine cool"
the concept,the cranberries,"Come here, my lover
Something's on your mind
Listen to no other
They could be unkind

Hold on to the concept of love, always darling
Hold on to the concept of love, always

Take life between us
Live it like we choose
They'll never see us
I'll wait here you call

Hold on to the concept of love, always darling
Hold on to the concept of love, always

Night, all night, all night
Night, all night, all night
Night, all night, all night
Night, all night, all night"
the conversation,the lodger,"Something is coming
Got to keep running
Trying new methods
Got to keep my breath up now
So I understand what I've done

Grab onto something
Keep it all going
Try a new focus
In the name of progress
You cannot understand what I've done

It's a funny affair
Trying to address the people
That you don't care about anymore
When the future's banging on
The door

It's a funny idea
Trying to caress the people
That you don't care about anymore
Is it simpler to ignore?

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I just want to rise above

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I just want to rise above

Something is coming
Got to keep running
Trying new methods
Got to keep my breath up now
So I understand what I've done

It's a funny affair
Trying to address the people
That you don't care about anymore
When the future's banging on
The door

It's a funny idea
Trying to caress the people
That you don't care about
When you're low
And there's nowhere left for you to go

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I just want to rise above

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I just want to rise above

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I don't want to fall in love

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
No no no...

Is there something new that I could
Bring to the table and another thing
I just want to rise above

Is there something new that I could bring
To the conversation or something?
I don't want to fall in love
I just want to rise above

Something is coming
Got to keep running"
the cure,attila,"JEALOUSY IS A MOTHERFUCKIN' BITCH AND SO ARE YOU.
I hear you talkin and I don't know what to think about it.
Yesterday was cool we were hanging at a kickback.
Just because the table's turned now you turn you fuckin back.
Cowardly as fuck just like smokin fuckin crack.
Now we at the top and you still don't get it.
Basic fucking bitches all around don't sweat it.
I'm just sittin cool catchin looks from your bitch.
And she just sent me a text that says you got a small dick.

Cunt.
Go and cry about a bitch and write another little whiny fucking song about me.
Never gave a fuck and never will did you expect less
I just kick back under the shade of my money tree.
Everything I say makes a motherfucking headline.
I can't even breathe without them talkin bout me that's fine.
I'd rather suck it up and stay humble never jealous.
Because jealousy's for fuck boys and you will never get it.

FUCK YEAH
Everybody's having a good time.
But you don't get it and you worry bout the small shit but I don't sweat it nah.
Rolling around on the brink of confusion.
Stuck within your mind you find that you're in a bind with time just like an identity crisis.

Your jealousy's a disease. And my fist is the cure.

Shut the fuck up cunt.

FUCK YEAH
Everybody's having a good time.
But you don't get it and you worry bout the small shit but I don't sweat it nah.
Rolling around on the brink of confusion.
Stuck within your mind you find that you're in a bind with time just like an identity crisis.

I hear you talking in your sleep. And you still. Remember. My fucking. Name.

Your jealousy's a disease. And my fist is the cure.

You're a jealous cunt little bitch run and hide.

JEALOUSY IS A MOTHERFUCKIN' BITCH AND SO ARE YOU.

Shut the fuck up cunt.

I'm getting too old for this middle school shit.
Grown ass men acting like a little bitch.
Take me back in time somebody hit rewind to the days where music mattered drama didn't fly.
Schoolboy bitches didn't get a fuckin mic.
Nobody was judged about the music that they like.
The scene was a family and everyone was happy.
Just to be an individual and not a jealous asshole."
the curse,agnes obel,"And the people went into their hide, ay-oh
From the start they didn't know exactly why, why
Winter came and made it so all look alike, look alike
Underneath the grass would grow, aiming at the sky

It was swift, it was just another wave of a miracle
But no one, nothing at all would go for the kill
If they called on every soul in the land, on the moon
Only then would they know a blessing in disguise

The curse ruled from the underground, down by the shore
And their hope grew with a hunger to live unlike before
The curse ruled from the underground, down by the shore
And their hope grew with a hunger to live unlike before

Tell me now of the very soul that look alike, look alike
Do you know the stranglehold covering their eyes?
If I call on every soul in the land, on the moon
Tell me if I'll ever know a blessing in disguise

The curse ruled from the underground, down by the shore
And their hope grew with a hunger to live unlike before
And the curse ruled from the underground, down by the shore
And their hope grew with a hunger to live unlike before"
the dancer,ane brun,"He came riding fast like a phoenix out of fire flames
He came dressed in black with a cross bearing my name
He came bathed in light and the splendor and glory
I can't believe what the Lord has finally sent me

He said, ""Dance for me, fanciulla gentile""
He said, ""Laugh awhile, I can make your heart feel""
He said, ""Fly with me, touch the face of the true God
And then cry with joy at the depth of my love""

'Cause I've prayed days, I've prayed nights
For the Lord just to send me home some sign
I've looked long, I've looked far
To bring peace to my black and empty heart

My love will stay 'til the river bed run dry
And my love lasts long as the sunshine blue sky
I love him longer as each damn day goes
The man is gone and heaven only knows

'Cause I've cried days, I've cried nights
For the Lord just to send me home some sign
Is he near, is he far?
Bring peace to my black and empty heart

So long day, so long night
Oh Lord, be near me tonight
Is he near, is he far?
Bring peace to my black and empty heart"
the dance,barbie's cradle,"Would you be interested in dancing with me?
And maybe tell me all your dreams
Talk to me like you would in your sleep
Don't censor anything
Cause i wanna hear everything
There's no innocence left to spoil
You can swear she's not a little boy
We'll fly tonight so far away
Where they will never find us
Use your wings and i will run fast
Cause that's what i do when i'm not afraid
We've got it made up in our heads
We don't have to wait for anyone or anything
Go anywhere we desire
So close your eyes become blind
From the world listen instead to the girl
She'll tell you why she chose to fly
And you're left behind
Just like me alone and free
We can smile when we've filled the void
And treated the burn
But until then i believe
We're gonna have to learn
To discard any disguise we're using
Yes it's hard and it's never amusing"
the darkness,zombie girl,"All alone, flesh and bone,
Evil carved in stone smell the fear
Somewhere up in these hills
Awaits the darkest chills

Can you hear?

Where are you gonna go?
There's nowhere to go now
Trapped in this world,
You're lost forever

There's nobody here to save you
There's nobody near to hear you
There's nobody here to save you
There's nobody near to hear you

In this place, in this time and space
Fear, hate, and evil awaits you
Soon the siren will reign,
Better run from the pain
Before the darkness will eat you

Go, go, get away now
Go, go, run away now
Go, go, get away now
Go, go, go

Where are you gonna go?
There's nowhere to go now
Trapped in this world,
You're lost forever

There's nobody here to save you
There's nobody near to hear you
There's nobody here to save you
There's nobody near to hear you

There's nobody here to save you
There's nobody near to hear you
There's nobody here to save you
There's nobody near to hear you"
the days,patrick wolf,"The days
Passing days
I see the steeple
And trace to the spire
And the sun set
Deep in regret
Phoenix in final fire
And the time stops
Rush hour traffic slows
And my heart starts
Beating this dark
Through old flesh and cold bones
And I long to be carried on
Just once to be lifted strong
Out of the loneliness
And the emptiness
Of the days
Days
Passing days
Days
I remember I had your love once
Seized my body whole
And in our first dance
I thought by chance
God had matched my soul
But time brought its travelling
This distance and solitude
And in that travelling
My self damaging
I took my love far, far from you
But don't you
Still long to be carried on
Once more I could lift you strong
Out of the loneliness
And the emptiness
Of the days
Passing days
Passing days
Days
Tell me
Have we gone too far?
Or did we get too close?
You've no father
I've no son
But when we come ghost
I promise I will meet you
I will meet you
At the end of the days
The days
Passing days
Won't you meet me at the end of the days?"
